Order,Family,IUCN_name,IUCN_Status,Frequency_month,Survey_interval_days,Road_length_km,Survey_period_days,Latitude,Longitude,Country,Roadkill_rate_ind_km_y,Roadkillrate_corrected,AdultBodyMass_g_median,Home_range_Km2,longevity_y,Ageofmaturity_d,SocialGrpSize,Activity_1Diurnal_2Nocturnal,Litter_clutch_size,Litters_or_clutches_per_y,Diet_breadth,Habitat_breadth,Population density_IndKm2
Didelphimorphia,Didelphidae,philander opossum,LC,2,14,94.9,365,10.020301,-83.215233,Costa_Rica,0.18967334,0.325100105,510,0.00307,3.5,213.08,1,2,4.675,2.5,5,5,95.74
Didelphimorphia,Didelphidae,philander opossum,LC,56,0.5,34,1461,-25.753,-54.54,Argentina,0.007347908,0.007347908,510,0.00307,3.5,213.08,1,2,4.675,2.5,5,5,95.74
Didelphimorphia,Didelphidae,philander opossum,LC,2,14,71,335,10.468506,-84.657612,Costa_Rica,0.076729031,0.131513559,510,0.00307,3.5,213.08,1,2,4.675,2.5,5,5,95.74
Didelphimorphia,Didelphidae,philander opossum,LC,4,7,63,242,-26.581324,-48.722133,Brazil,0.023940706,0.04103437,510,0.00307,3.5,213.08,1,2,4.675,2.5,5,5,95.74
Didelphimorphia,Didelphidae,philander opossum,LC,10,2.8,8,730,18.436503,-95.089337,Mexico,0.8125,1.2406875,510,0.00307,3.5,213.08,1,2,4.675,2.5,5,5,95.74
Carnivora,Procyonidae,potos flavus,LC,2,14,94.9,365,10.020301,-83.215233,Costa_Rica,0.073761855,0.107471023,2441.81,0.22,32,830.7777,1,2,1.055,1,3,3,
Carnivora,Procyonidae,potos flavus,LC,8,3.5,38.92,92,9.245341,-79.64701,Panama,0.101937084,0.148522331,2441.81,0.22,32,830.7777,1,2,1.055,1,3,3,
Carnivora,Procyonidae,potos flavus,LC,672,0.041666667,57.5,1765,-20.580677,-40.417217,Brazil,0.003596502,0.003596502,2441.81,0.22,32,830.7777,1,2,1.055,1,3,3,
Carnivora,Procyonidae,potos flavus,LC,12,2.333333333,59.6,730,-19.72597,-40.644482,Brazil,0.008389262,0.010855705,2441.81,0.22,32,830.7777,1,2,1.055,1,3,3,
Carnivora,Procyonidae,potos flavus,LC,12,2.333333333,99,184,-0.461755,-77.904245,Ecuador,0.02003733,0.025928305,2441.81,0.22,32,830.7777,1,2,1.055,1,3,3,
Carnivora,Procyonidae,potos flavus,LC,1,28,802,396,-17.859419,-51.730303,Brazil,0.001149273,0.001674491,2441.81,0.22,32,830.7777,1,2,1.055,1,3,3,
Carnivora,Procyonidae,procyon cancrivorus,LC,3.6,7.777777778,80.27,151,11.019911,-74.213309,Colombia,0.903407952,1.316265386,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,2,14,920,426,-20.490151,-54.80721,Brazil,0.025145438,0.036636903,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,56,0.5,34,1461,-25.753,-54.54,Argentina,0.264524701,0.264524701,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,4,7,90,610,-25.54553,-48.78396,Brazil,0.059836066,0.087181148,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,9.3,3.010752688,136,547,-14.157535,-47.59415,Brazil,0.014719325,0.021446057,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,28,1,180.4,1126,-22.307184,-43.130266,Brazil,0.008984377,0.010745315,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,2,14,250,2587,-20.552911,-55.549228,Brazil,0.008465404,0.012334094,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,4,7,96,365,-19.36333333,-48.07916667,Brazil,0.208333333,0.303541666,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,4,7,192,365,-19.278735,-48.122972,Brazil,0.104166667,0.151770834,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,1,28,195,373,-29.660601,-49.980385,Brazil,0.105382553,0.15354238,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,4,7,45,366,-30.347781,-53.998679,Brazil,0.132969035,0.193735884,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,4,7,63,242,-26.581324,-48.722133,Brazil,0.095762823,0.139526433,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,1.69,16.56804734,255,396,-24.739094,-65.028936,Argentina,0.010843731,0.015799316,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,4,7,216,538,-16.575593,-50.261,Brazil,0.021986438,0.03203424,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,1,28,67,304,-28.983732,-53.646553,Brazil,0.017920267,0.026109829,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,3,9.333333333,197,183,-16.598535,-50.195063,Brazil,0.060747275,0.08850878,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,8,3.5,27.2,182,9.489191,-75.514281,Colombia,0.589851325,0.859413381,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,1,28,215,457,-20.387782,-56.100565,Brazil,0.033433413,0.048712483,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,672,0.041666667,57.5,1765,-20.580677,-40.417217,Brazil,0.071930041,0.071930041,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,8,3.5,51,426,-2.47187,-79.621231,Ecuador,0.033600295,0.04895563,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,2,14,12,305,-29.878831,-50.16805,Brazil,0.199453552,0.290603825,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,12,2.333333333,59.6,730,-19.72597,-40.644482,Brazil,0.016778523,0.021711409,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,1.67,16.76646707,70,344,-25.755959,-57.729048,Paraguay,0.030315615,0.044169851,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,1.83,15.30054645,63,365,-15.79053,-56.654475,Brazil,0.111111111,0.161888889,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,20,1.4,36,183,-10.675567,-62.208069,Brazil,0.055403764,0.066262902,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,2,14,75,245,7.082591,-73.718817,Colombia,0.397278912,0.578835375,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,1,28,802,396,-17.859419,-51.730303,Brazil,0.048269478,0.070328629,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,8,3.5,178.8,91,9.017987,-73.633823,Colombia,0.089731298,0.130738501,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,12,2.333333333,36,730,-1.005806,-46.774428,Brazil,0.291666667,0.377416667,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,1,28,180,334,-7.063913,-36.564084,Brazil,0.006071191,0.008845725,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,40,0.7,12,488,-22.246302,-47.839529,Brazil,0.062329235,0.062329235,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,16,1.75,130,304,-20.675583,-43.349806,Brazil,0.00923583,0.011951164,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,1,28,74,599,8.90034,-69.403086,Venezuela,0.074110003,0.107978274,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,8,3.5,29,365,-30.117957,-53.619222,Brazil,0.24137931,0.351689655,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,8,3.5,130,426,-7.167969,-35.367968,Brazil,0.019772481,0.028808505,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,1,28,280,365,-15.159661,-56.55916,Brazil,0.042857143,0.062442857,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon cancrivorus,LC,4,7,115,365,-11.904988,-48.737133,Brazil,0.034782609,0.050678261,6931.72,5.57,16.48333333,498.185,1,2,2.685,1,5,6,
Carnivora,Procyonidae,procyon lotor,LC,2,14,94.9,365,10.020301,-83.215233,Costa_Rica,0.147523709,0.214942044,5524.97,4.62,20.58333333,365,,2,3.225,1,4,9,107.5
Carnivora,Procyonidae,procyon lotor,LC,2,14,71,335,10.468506,-84.657612,Costa_Rica,0.030691612,0.044717679,5524.97,4.62,20.58333333,365,,2,3.225,1,4,9,107.5
Carnivora,Procyonidae,procyon lotor,LC,2.83,9.893992933,112,365,19.535661,-97.381011,Mexico,0.008928571,0.013008928,5524.97,4.62,20.58333333,365,,2,3.225,1,4,9,107.5
Carnivora,Felidae,puma concolor,LC,56,0.5,34,1461,-25.753,-54.54,Argentina,0.014695817,0.014695817,51600.04,129.89,21.85416667,912,1,2,2.76,0.47,1,8,0.06
Carnivora,Felidae,puma concolor,LC,9.3,3.010752688,136,547,-14.157535,-47.59415,Brazil,0.004906442,0.007148686,51600.04,129.89,21.85416667,912,1,2,2.76,0.47,1,8,0.06
Carnivora,Felidae,puma concolor,LC,2,14,250,2587,-20.552911,-55.549228,Brazil,0.001128721,0.001644546,51600.04,129.89,21.85416667,912,1,2,2.76,0.47,1,8,0.06
Carnivora,Felidae,puma concolor,LC,1.83,15.30054645,63,365,-15.79053,-56.654475,Brazil,0.015873016,0.023126984,51600.04,129.89,21.85416667,912,1,2,2.76,0.47,1,8,0.06
Carnivora,Felidae,puma concolor,LC,672,0.041666667,366,1461,-24.866723,-50.445759,Brazil,0.000682593,0.000682593,51600.04,129.89,21.85416667,912,1,2,2.76,0.47,1,8,0.06
Carnivora,Felidae,puma concolor,LC,4,7,115,365,-11.904988,-48.737133,Brazil,0.008695652,0.012669565,51600.04,129.89,21.85416667,912,1,2,2.76,0.47,1,8,0.06
Rodentia,Muridae,rattus norvegicus,LC,672,0.041666667,57.5,1765,-20.580677,-40.417217,Brazil,0.003596502,0.003596502,282.89,0.00293,5,78.78396,,2,8.9225,3.68,4,9,
Rodentia,Muridae,rattus norvegicus,LC,2.83,9.893992933,112,365,19.535661,-97.381011,Mexico,0.008928571,0.017589285,282.89,0.00293,5,78.78396,,2,8.9225,3.68,4,9,
Rodentia,Muridae,rattus norvegicus,LC,8,3.5,91.5,181,-4.926667,-80.344444,Peru,0.044078133,0.086833922,282.89,0.00293,5,78.78396,,2,8.9225,3.68,4,9,
Rodentia,Muridae,rattus rattus,LC,3.6,7.777777778,80.27,151,11.019911,-74.213309,Colombia,0.060227197,0.118647578,200,0.00232,4.2,102.645,,2,5.915,4.28,4,8,1280
Rodentia,Muridae,rattus rattus,LC,8,3.5,28,245,-19.936923,-40.482438,Brazil,0.106413994,0.209635568,200,0.00232,4.2,102.645,,2,5.915,4.28,4,8,1280
Rodentia,Muridae,rattus rattus,LC,1,28,802,396,-17.859419,-51.730303,Brazil,0.001149273,0.002264068,200,0.00232,4.2,102.645,,2,5.915,4.28,4,8,1280
Rodentia,Cricetidae,reithrodontomys megalotis,LC,2.83,9.893992933,112,365,19.535661,-97.381011,Mexico,0.008928571,0.017589285,10.72,0.00101,2.5375,97.46954,1,2,3.965,4.5,2,7,770
Primates,Callitrichidae,saguinus midas,LC,4.63,7.22,107,762,-2.323301,-60.044455,Brazil,0.00895332,0.01534599,540.56,0.05,15.4,624.49108,5.55,1,2.01,1.4,3,1,25
Primates,Cebidae,saimiri sciureus,LC,8.33,3.361344538,107,90,4.390395,-73.297052,Colombia,0.037902388,0.064964693,749.47,0.68,27,1090.58878,34.85,1,1,1.07,5,1,22
Primates,Cebidae,sapajus apella,LC,4,7,216,538,-16.575593,-50.261,Brazil,0.00314092,0.00457632,2642.5,0.88,45.08333333,1727.44808,7.9,1,1.05,0.6,6,2,13
Primates,Cebidae,sapajus apella,LC,1,28,215,457,-20.387782,-56.100565,Brazil,0.014859295,0.021649993,2642.5,0.88,45.08333333,1727.44808,7.9,1,1.05,0.6,6,2,13
Primates,Cebidae,sapajus apella,LC,8,3.5,25,1310,-6.115415,-49.990498,Brazil,0.011145038,0.01623832,2642.5,0.88,45.08333333,1727.44808,7.9,1,1.05,0.6,6,2,13
Primates,Cebidae,sapajus apella,LC,1,28,280,365,-15.159661,-56.55916,Brazil,0.017857143,0.026017857,2642.5,0.88,45.08333333,1727.44808,7.9,1,1.05,0.6,6,2,13
Primates,Cebidae,sapajus cay,LC,4,7,100,365,-13.561588,-58.421854,Brazil,0.04,0.05828,2642.5,0.88,45.08333333,1727.44808,7.9,1,1.05,0.6,6,1,13
Primates,Cebidae,sapajus libidinosus,NT,8,3.5,55,366,-18.232298,-50.431983,Brazil,0.018132141,0.026418529,2687.21,3,45.04166667,1727.44808,,1,1.05,0.6,5,2,14.1
Primates,Cebidae,sapajus libidinosus,NT,3,9.333333333,197,183,-16.598535,-50.195063,Brazil,0.020249092,0.029502927,2687.21,3,45.04166667,1727.44808,,1,1.05,0.6,5,2,14.1
Primates,Cebidae,sapajus libidinosus,NT,1,28,802,396,-17.859419,-51.730303,Brazil,0.00344782,0.005023474,2687.21,3,45.04166667,1727.44808,,1,1.05,0.6,5,2,14.1
Rodentia,Cricetidae,sigmodon hispidus,LC,2,14,71,335,10.468506,-84.657612,Costa_Rica,0.092074837,0.181387429,110.65,0.0024,5.2,40,1,2,5.44,2,2,2,5250
Rodentia,Cricetidae,sigmodon hispidus,LC,2.83,9.893992933,112,365,19.535661,-97.381011,Mexico,0.008928571,0.017589285,110.65,0.0024,5.2,40,1,2,5.44,2,2,2,5250
Carnivora,Canidae,speothos venaticus,NT,24,1.166666667,99.3,183,9.508766,-75.236148,Colombia,0.020085957,0.024022805,6000,4.6,10.33333333,319.598,4.5,1,3.965,2,1,5,0.04
Carnivora,Canidae,speothos venaticus,NT,1,28,802,396,-17.859419,-51.730303,Brazil,0.001149273,0.001674491,6000,4.6,10.33333333,319.598,4.5,1,3.965,2,1,5,0.04
Carnivora,Canidae,speothos venaticus,NT,4.63,7.22,107,762,-2.323301,-60.044455,Brazil,0.00447666,0.006522494,6000,4.6,10.33333333,319.598,4.5,1,3.965,2,1,5,0.04
Lagomorpha,Leporidae,sylvilagus audubonii,LC,2.83,9.893992933,112,365,19.535661,-97.381011,Mexico,0.080357143,0.137732143,880.88,0.03,7.808333333,164,,2,3,5,1,5,
Lagomorpha,Leporidae,sylvilagus floridanus,LC,24,1.166666667,99.3,183,9.508766,-75.236148,Colombia,0.020085957,0.024022805,1178.595,0.01,9,123,,2,4.81,3.9,1,6,728.96
Lagomorpha,Leporidae,sylvilagus floridanus,LC,8,3.5,49,182,9.821408,-75.442693,Colombia,0.245570756,0.357796591,1178.595,0.01,9,123,,2,4.81,3.9,1,6,728.96
Lagomorpha,Leporidae,sylvilagus floridanus,LC,10,2.8,8,730,18.436503,-95.089337,Mexico,0.125,0.16175,1178.595,0.01,9,123,,2,4.81,3.9,1,6,728.96
Lagomorpha,Leporidae,sylvilagus floridanus,LC,8,3.5,178.8,91,9.017987,-73.633823,Colombia,0.022432824,0.032684625,1178.595,0.01,9,123,,2,4.81,3.9,1,6,728.96
Lagomorpha,Leporidae,sylvilagus floridanus,LC,1,28,572,153,9.587135,-67.303008,Venezuela,0.008341332,0.012153321,1178.595,0.01,9,123,,2,4.81,3.9,1,6,728.96
Lagomorpha,Leporidae,sylvilagus floridanus,LC,1,28,74,599,8.90034,-69.403086,Venezuela,0.090578893,0.131973447,1178.595,0.01,9,123,,2,4.81,3.9,1,6,728.96
Pilosa,Myrmecophagidae,tamandua mexicana,LC,3.6,7.777777778,80.27,151,11.019911,-74.213309,Colombia,0.090340795,0.131626538,4194.255,0.22,9.5,365.116,1,2,1,1.175,1,5,5
Pilosa,Myrmecophagidae,tamandua mexicana,LC,2,14,94.9,365,10.020301,-83.215233,Costa_Rica,0.136986301,0.199589041,4194.255,0.22,9.5,365.116,1,2,1,1.175,1,5,5
Pilosa,Myrmecophagidae,tamandua mexicana,LC,2,14,71,335,10.468506,-84.657612,Costa_Rica,0.107420643,0.156511877,4194.255,0.22,9.5,365.116,1,2,1,1.175,1,5,5
Pilosa,Myrmecophagidae,tamandua mexicana,LC,8,3.5,38.92,92,9.245341,-79.64701,Panama,0.407748335,0.594089324,4194.255,0.22,9.5,365.116,1,2,1,1.175,1,5,5
Pilosa,Myrmecophagidae,tamandua mexicana,LC,8,3.5,27.2,182,9.489191,-75.514281,Colombia,2.359405301,3.437653524,4194.255,0.22,9.5,365.116,1,2,1,1.175,1,5,5
Pilosa,Myrmecophagidae,tamandua mexicana,LC,24,1.166666667,99.3,183,9.508766,-75.236148,Colombia,0.080343828,0.096091218,4194.255,0.22,9.5,365.116,1,2,1,1.175,1,5,5
Pilosa,Myrmecophagidae,tamandua mexicana,LC,2,14,75,245,7.082591,-73.718817,Colombia,0.437006803,0.636718912,4194.255,0.22,9.5,365.116,1,2,1,1.175,1,5,5
Pilosa,Myrmecophagidae,tamandua mexicana,LC,8,3.5,49,182,9.821408,-75.442693,Colombia,0.327427674,0.477062121,4194.255,0.22,9.5,365.116,1,2,1,1.175,1,5,5
Pilosa,Myrmecophagidae,tamandua mexicana,LC,8,3.5,178.8,91,9.017987,-73.633823,Colombia,2.063819849,3.00698552,4194.255,0.22,9.5,365.116,1,2,1,1.175,1,5,5
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,2,14,920,426,-20.490151,-54.80721,Brazil,0.108032251,0.15740299,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,56,0.5,34,1461,-25.753,-54.54,Argentina,0.573136852,0.573136852,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,4,7,90,610,-25.54553,-48.78396,Brazil,0.066484517,0.096867941,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,9.3,3.010752688,136,547,-14.157535,-47.59415,Brazil,0.014719325,0.021446057,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,4,7,100,365,-13.561588,-58.421854,Brazil,0.11,0.16027,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,28,1,180.4,1126,-22.307184,-43.130266,Brazil,0.010781252,0.012894377,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,2,14,250,2587,-20.552911,-55.549228,Brazil,0.02144569,0.03124637,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,4,7,96,365,-19.36333333,-48.07916667,Brazil,0.145833333,0.212479166,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,4,7,192,365,-19.278735,-48.122972,Brazil,0.072916667,0.106239584,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,4,7,45,366,-30.347781,-53.998679,Brazil,0.044323012,0.064578628,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,4,7,63,242,-26.581324,-48.722133,Brazil,0.215466352,0.313934475,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,4,7,216,538,-16.575593,-50.261,Brazil,0.23242806,0.338647683,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,3,9.333333333,197,183,-16.598535,-50.195063,Brazil,0.182241824,0.265526338,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Perissodactyla,Tapiridae,tamandua tetradactyla,VU,1,28,215,457,-20.387782,-56.100565,Brazil,0.014859295,0.021649993,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,1,28,215,457,-20.387782,-56.100565,Brazil,0.122589181,0.178612437,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,8.33,3.361344538,107,90,4.390395,-73.297052,Colombia,0.379023884,0.552237799,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,672,0.041666667,57.5,1765,-20.580677,-40.417217,Brazil,0.032368518,0.032368518,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,8,3.5,25,1310,-6.115415,-49.990498,Brazil,0.044580153,0.064953283,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,6,4.666666667,26,761,-28.170158,-52.314813,Brazil,0.092236935,0.134389214,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,12,2.333333333,59.6,730,-19.72597,-40.644482,Brazil,0.016778523,0.021711409,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,1.83,15.30054645,63,365,-15.79053,-56.654475,Brazil,0.380952381,0.555047619,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,20,1.4,36,183,-10.675567,-62.208069,Brazil,0.055403764,0.066262902,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,1,28,802,396,-17.859419,-51.730303,Brazil,0.086195496,0.125586838,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,4.63,7.22,107,762,-2.323301,-60.044455,Brazil,0.098486521,0.143494861,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,672,0.041666667,412,303,-26.07434,-49.744804,Brazil,0.01461918,0.01461918,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,12,2.333333333,36,730,-1.005806,-46.774428,Brazil,0.125,0.16175,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,1,28,572,153,9.587135,-67.303008,Venezuela,0.029194662,0.042536623,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,1,28,180,334,-7.063913,-36.564084,Brazil,0.006071191,0.008845725,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,1,28,74,599,8.90034,-69.403086,Venezuela,0.107047782,0.155968618,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,2.5,11.2,110,365,-11.646886,-61.54987,Brazil,0.018181818,0.026490909,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,1,28,280,365,-15.159661,-56.55916,Brazil,0.135714286,0.197735715,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Pilosa,Myrmecophagidae,tamandua tetradactyla,LC,4,7,115,365,-11.904988,-48.737133,Brazil,0.052173913,0.076017391,4800,2.72,9.5,365.116,1,2,1,1.35,1,6,0.39
Carnivora,Canidae,urocyon cinereoargenteus,LC,0.72,38.88888889,51.9,547,9.784776,-69.152523,Venezuela,0.19285435,0.280988788,3833.72,1.83,15.56666667,345,,2,3.8025,1,5,5,
